Location,Species,Count
Chiang Rai,Aselliscus stoliczkanus,10
Chiang Rai,Hipposideros fulvus,1
Chiang Rai,Rhinolophus sp.,2
Chiang Rai,Taphozous melanopogon,1
Kamphaeng Phet,Hipposideros armiger,4
Kamphaeng Phet,Hipposideros larvatus,26
Kamphaeng Phet,Rhinolophus sp.,1
Kamphaeng Phet,Taphozous melanopogon,1
Sa Kaeo,Chaerephon plicatus,66
Khon Kaen,Hipposideros armiger,14
Khon Kaen,Hipposideros sp.,1
Khon Kaen,Chaerephon plicatus,5
