Province,Species,Count,Positive
Chiang Rai,Rhinolophus sp.,1,0
Chiang Rai,Aselliscus stoliczkanus,3,0
Chiang Rai,Hipposideros fulvus,1,1
Kamphaeng Phet,Hipposideros armiger,4,0
Kamphaeng Phet,Hipposideros larvatus,23,12
Kamphaeng Phet,Rhinolophus sp.,1,0
Kamphaeng Phet,Taphozous melanopogon,1,1
Sa Kaeo,Chaerephon plicatus,41,17
Khon Kaen,Hipposideros armiger,14,3
Khon Kaen,Chaerephon plicatus,3,0
Khon Kaen,Hipposideros sp.,1,0
